년도,중  부,미추홀,남  동,부  평,서  부,계  양,강  화,연  수,삼  산,논 현
2010,37017,103180,89846,60404,63349,58771,6833,42326,46629,0
2011,38293,109516,98653,61959,67233,61745,7507,43507,51241,0
2012,35375,84528,84421,47539,59667,49875,6131,37615,40093,0
2013,48201,106521,113720,60509,87542,64334,8589,51820,52715,0
2014,58492,119969,125776,64517,103366,70753,9496,57383,60470,0
2015,59436,128549,137253,68739,112303,70978,12960,64170,64934,0
2016,55770,130012,138986,67559,117586,72105,13551,67404,66070,0
2017,56596,129672,121835,67505,118597,71787,16114,67794,65275,13158
2018,56979,130212,85076,65853,119535,68986,16535,67972,64323,47451
2019,63062,133857,89629,69187,129127,70568,21474,71287,65930,49729
2020,61795,127389,84107,66587,120942,64453,18816,70273,59574,47267
2021,67689,130862,86482,69317,124049,67044,16123,79179,60603,50629
